brand,model,processor,ram,memory,os,display_size,price,star_rating,ratings
Asus,ASUS,Intel Core i5,8GB,512GB SSD,Windows,17.3,935.87,4.4,91
Asus,VivoBook,Intel Core i5,8GB,512GB SSD,Windows,15.6,623.87,4.0,35
Nokia,PureBook,Intel Core i5,8GB,512GB SSD,Windows,14,597.87,4.7,6
Lenovo,IdeaPad,Intel Core i5,8GB,512GB SSD,Windows,15.6,630.37,4.3,126
Asus,ASUS,Intel Core i5,8GB,512GB SSD,Windows,17.3,948.87,4.5,74
Msi,Katana,Intel Core i5,16GB,512GB SSD,Windows,15.6,1000.87,4.6,75
Asus,TUF,Intel Core i5,16GB,512GB SSD,Windows,15.6,1169.87,4.6,124
Msi,GF63,Intel Core i5,8GB,512GB SSD,Windows,15.6,779.87,4.5,1597
Asus,TUF,Intel Core i5,8GB,512GB SSD,Windows,15.6,857.87,4.4,3850
Dell,Inspiron,Intel Core i5,8GB,512GB SSD,Windows,14,935.87,4.7,7
Dell,Inspiron,Intel Core i5,8GB,512GB SSD,Windows,14,934.5699999999999,4.3,3
Lenovo,IdeaPad,Intel Core i5,16GB,512GB SSD,Windows,15.6,844.87,0.0,0
Asus,VivoBook,Intel Core i5,16GB,512GB SSD,Windows,14,857.87,0.0,0
Hp,Missing,Intel Core i5,8GB,512GB SSD,Windows,15.6,727.987,4.8,5
Asus,VivoBook,Intel Core i5,16GB,512GB SSD,Windows,14,955.37,4.5,213
Hp,Pavilion,Intel Core i5,16GB,512GB SSD,Windows,14,968.37,4.3,10
Hp,Pavilion,Intel Core i5,8GB,512GB SSD,Windows,14,758.42,4.0,69
Acer,Aspire,Intel Core i5,8GB,512GB SSD,Windows,14,727.987,4.5,6
Dell,Inspiron,Intel Core i5,16GB,512GB SSD,Windows,14,883.87,4.4,93
Asus,VivoBook,Intel Core i5,16GB,512GB SSD,Windows,14,779.87,4.5,11
Asus,TUF,Intel Core i5,16GB,512GB SSD,Windows,15.6,1078.87,4.4,262
Dell,Vostro,Intel Core i5,8GB,512GB SSD,Windows,14,834.4699999999999,0.0,0
Dell,Missing,Intel Core i5,16GB,512GB SSD,Windows,14,911.17,4.0,5
Realme,Book(Slim),Intel Core i5,8GB,512GB SSD,Windows,14,792.987,4.4,3470
Asus,Missing,Intel Core i5,8GB,512GB SSD,Windows,15.6,649.87,4.1,45
Msi,Missing,Intel Core i5,8GB,512GB SSD,Windows,14,721.37,3.9,8
Hp,Spectre,Intel Core i5,8GB,512GB SSD,Windows,13.3,1273.87,5.0,3
Asus,VivoBook,Intel Core i5,8GB,512GB SSD,Windows,15.6,714.87,4.4,1681
Lenovo,Thinkbook,Intel Core i5,8GB,512GB SSD,Windows,15,779.87,4.3,37
